New England Patriots,14,2,0,.875,348,238,110,6.9,0.1,6.9,2.1,4.9,AFC East,divwin,2003
Miami Dolphins,10,6,0,.625,311,261,50,3.1,0.3,3.4,-0.7,4.1,AFC East,missed,2003
Buffalo Bills,6,10,0,.375,243,279,-36,-2.3,1.3,-1.0,-5.0,4.0,AFC East,missed,2003
New York Jets,6,10,0,.375,283,299,-16,-1.0,0.4,-0.6,-1.9,1.3,AFC East,missed,2003
Baltimore Ravens,10,6,0,.625,391,281,110,6.9,-0.6,6.3,3.3,3.0,AFC North,divwin,2003
Cincinnati Bengals,8,8,0,.500,346,384,-38,-2.4,0.0,-2.4,1.1,-3.5,AFC North,missed,2003
Pittsburgh Steelers,6,10,0,.375,300,327,-27,-1.7,0.6,-1.1,-2.5,1.4,AFC North,missed,2003
Cleveland Browns,5,11,0,.313,254,322,-68,-4.3,1.3,-2.9,-5.3,2.4,AFC North,missed,2003
Indianapolis Colts,12,4,0,.750,447,336,111,6.9,0.0,7.0,8.2,-1.2,AFC South,divwin,2003
Tennessee Titans,12,4,0,.750,435,324,111,6.9,-0.5,6.5,7.0,-0.5,AFC South,wildcard,2003
Jacksonville Jaguars,5,11,0,.313,276,331,-55,-3.4,1.0,-2.4,-3.3,0.9,AFC South,missed,2003
Houston Texans,5,11,0,.313,255,380,-125,-7.8,1.9,-6.0,-4.4,-1.5,AFC South,missed,2003
Kansas City Chiefs,13,3,0,.813,484,332,152,9.5,-1.2,8.3,9.2,-0.9,AFC West,divwin,2003
Denver Broncos,10,6,0,.625,381,301,80,5.0,0.5,5.5,2.4,3.1,AFC West,wildcard,2003
Oakland Raiders,4,12,0,.250,270,379,-109,-6.8,1.3,-5.5,-4.2,-1.3,AFC West,missed,2003
San Diego Chargers,4,12,0,.250,313,441,-128,-8.0,1.2,-6.8,-0.6,-6.2,AFC West,missed,2003
Philadelphia Eagles,12,4,0,.750,374,287,87,5.4,-1.0,4.4,2.9,1.5,NFC East,divwin,2003
Dallas Cowboys,10,6,0,.625,289,260,29,1.8,-2.3,-0.5,-3.2,2.7,NFC East,wildcard,2003
Washington Redskins,5,11,0,.313,287,372,-85,-5.3,-0.4,-5.7,-1.9,-3.8,NFC East,missed,2003
New York Giants,4,12,0,.250,243,387,-144,-9.0,0.4,-8.6,-4.8,-3.7,NFC East,missed,2003
Green Bay Packers,10,6,0,.625,442,307,135,8.4,-0.3,8.1,6.2,1.9,NFC North,divwin,2003
Minnesota Vikings,9,7,0,.563,416,353,63,3.9,-1.0,2.9,4.0,-1.1,NFC North,missed,2003
Chicago Bears,7,9,0,.438,283,346,-63,-3.9,0.4,-3.5,-4.2,0.7,NFC North,missed,2003
Detroit Lions,5,11,0,.313,270,379,-109,-6.8,1.0,-5.8,-4.3,-1.6,NFC North,missed,2003
Carolina Panthers,11,5,0,.688,325,304,21,1.3,-2.2,-0.9,-1.5,0.6,NFC South,divwin,2003
New Orleans Saints,8,8,0,.500,340,326,14,0.9,-1.1,-0.3,0.1,-0.4,NFC South,missed,2003
Tampa Bay Buccaneers,7,9,0,.438,301,264,37,2.3,-0.7,1.6,-2.9,4.5,NFC South,missed,2003
Atlanta Falcons,5,11,0,.313,299,422,-123,-7.7,0.3,-7.4,-2.0,-5.4,NFC South,missed,2003
St. Louis Rams,12,4,0,.750,447,328,119,7.4,-1.6,5.9,6.0,-0.2,NFC West,divwin,2003
Seattle Seahawks,10,6,0,.625,404,327,77,4.8,-0.7,4.1,3.6,0.5,NFC West,wildcard,2003
San Francisco 49ers,7,9,0,.438,384,337,47,2.9,0.1,3.1,3.0,0.1,NFC West,missed,2003
Arizona Cardinals,4,12,0,.250,225,452,-227,-14.2,1.6,-12.6,-6.3,-6.2,NFC West,missed,2003
