New England Patriots,14,2,0,.875,437,260,177,11.1,1.8,12.8,6.4,6.5,AFC East,divwin,2004
New York Jets,10,6,0,.625,333,261,72,4.5,2.1,6.6,0.5,6.0,AFC East,wildcard,2004
Buffalo Bills,9,7,0,.563,395,284,111,6.9,1.1,8.1,4.6,3.5,AFC East,missed,2004
Miami Dolphins,4,12,0,.250,275,354,-79,-4.9,2.7,-2.2,-2.7,0.5,AFC East,missed,2004
Pittsburgh Steelers,15,1,0,.938,372,251,121,7.6,1.4,9.0,3.4,5.6,AFC North,divwin,2004
Baltimore Ravens,9,7,0,.563,317,268,49,3.1,3.1,6.1,-0.6,6.8,AFC North,missed,2004
Cincinnati Bengals,8,8,0,.500,374,372,2,0.1,2.5,2.7,4.3,-1.6,AFC North,missed,2004
Cleveland Browns,4,12,0,.250,276,390,-114,-7.1,3.7,-3.4,-1.5,-1.9,AFC North,missed,2004
Indianapolis Colts,12,4,0,.750,522,351,171,10.7,0.7,11.4,11.7,-0.3,AFC South,divwin,2004
Jacksonville Jaguars,9,7,0,.563,261,280,-19,-1.2,1.9,0.8,-5.7,6.4,AFC South,missed,2004
Houston Texans,7,9,0,.438,309,339,-30,-1.9,1.2,-0.6,-2.4,1.8,AFC South,missed,2004
Tennessee Titans,5,11,0,.313,344,439,-95,-5.9,1.5,-4.4,0.3,-4.6,AFC South,missed,2004
San Diego Chargers,12,4,0,.750,446,313,133,8.3,0.8,9.1,6.1,3.0,AFC West,divwin,2004
Denver Broncos,10,6,0,.625,381,304,77,4.8,1.0,5.9,1.6,4.3,AFC West,wildcard,2004
Kansas City Chiefs,7,9,0,.438,483,435,48,3.0,2.3,5.3,10.0,-4.7,AFC West,missed,2004
Oakland Raiders,5,11,0,.313,320,442,-122,-7.6,3.4,-4.3,-0.6,-3.7,AFC West,missed,2004
Philadelphia Eagles,13,3,0,.813,386,260,126,7.9,-2.3,5.6,2.0,3.5,NFC East,divwin,2004
New York Giants,6,10,0,.375,303,347,-44,-2.8,-1.2,-3.9,-2.3,-1.6,NFC East,missed,2004
Dallas Cowboys,6,10,0,.375,293,405,-112,-7.0,-0.8,-7.8,-3.0,-4.8,NFC East,missed,2004
Washington Redskins,6,10,0,.375,240,265,-25,-1.6,-1.8,-3.4,-7.4,4.0,NFC East,missed,2004
Green Bay Packers,10,6,0,.625,424,380,44,2.8,-2.4,0.3,4.3,-4.0,NFC North,divwin,2004
Minnesota Vikings,8,8,0,.500,405,395,10,0.6,-2.3,-1.7,3.0,-4.7,NFC North,wildcard,2004
Detroit Lions,6,10,0,.375,296,350,-54,-3.4,-1.8,-5.2,-3.8,-1.4,NFC North,missed,2004
Chicago Bears,5,11,0,.313,231,331,-100,-6.3,-2.0,-8.2,-8.5,0.3,NFC North,missed,2004
Atlanta Falcons,11,5,0,.688,340,337,3,0.2,-2.4,-2.2,-1.8,-0.4,NFC South,divwin,2004
New Orleans Saints,8,8,0,.500,348,405,-57,-3.6,-2.0,-5.6,-1.2,-4.3,NFC South,missed,2004
Carolina Panthers,7,9,0,.438,355,339,16,1.0,-1.7,-0.7,-0.8,0.1,NFC South,missed,2004
Tampa Bay Buccaneers,5,11,0,.313,301,304,-3,-0.2,-2.5,-2.7,-4.0,1.3,NFC South,missed,2004
Seattle Seahawks,9,7,0,.563,371,373,-2,-0.1,-2.8,-2.9,0.4,-3.3,NFC West,divwin,2004
St. Louis Rams,8,8,0,.500,319,392,-73,-4.6,-1.4,-6.0,-2.2,-3.8,NFC West,wildcard,2004
Arizona Cardinals,6,10,0,.375,284,322,-38,-2.4,-2.5,-4.9,-5.1,0.2,NFC West,missed,2004
San Francisco 49ers,2,14,0,.125,259,452,-193,-12.1,-1.6,-13.6,-5.1,-8.6,NFC West,missed,2004
