Miami Dolphins,11,5,0,.688,345,317,28,1.8,-2.3,-0.5,-2.4,1.8,AFC East,divwin,2008
New England Patriots,11,5,0,.688,410,309,101,6.3,-2.4,3.9,2.3,1.6,AFC East,missed,2008
New York Jets,9,7,0,.563,405,356,49,3.1,-2.8,0.2,2.2,-1.9,AFC East,missed,2008
Buffalo Bills,7,9,0,.438,336,342,-6,-0.4,-3.0,-3.3,-2.8,-0.6,AFC East,missed,2008
Pittsburgh Steelers,12,4,0,.750,347,223,124,7.8,2.0,9.8,1.6,8.2,AFC North,divwin,2008
Baltimore Ravens,11,5,0,.688,385,244,141,8.8,1.0,9.8,4.2,5.6,AFC North,wildcard,2008
Cincinnati Bengals,4,11,1,.281,204,364,-160,-10.0,3.0,-7.0,-6.9,-0.1,AFC North,missed,2008
Cleveland Browns,4,12,0,.250,232,350,-118,-7.4,2.7,-4.6,-5.2,0.6,AFC North,missed,2008
Tennessee Titans,13,3,0,.813,375,234,141,8.8,0.1,8.9,1.5,7.5,AFC South,divwin,2008
Indianapolis Colts,12,4,0,.750,377,298,79,4.9,1.6,6.5,2.6,3.9,AFC South,wildcard,2008
Houston Texans,8,8,0,.500,366,394,-28,-1.8,1.4,-0.4,2.8,-3.2,AFC South,missed,2008
Jacksonville Jaguars,5,11,0,.313,302,367,-65,-4.1,1.6,-2.5,-2.1,-0.4,AFC South,missed,2008
San Diego Chargers,8,8,0,.500,439,347,92,5.8,-0.8,5.0,5.0,0.0,AFC West,divwin,2008
Denver Broncos,8,8,0,.500,370,448,-78,-4.9,-0.9,-5.8,0.7,-6.5,AFC West,missed,2008
Oakland Raiders,5,11,0,.313,263,388,-125,-7.8,0.3,-7.5,-6.5,-1.0,AFC West,missed,2008
Kansas City Chiefs,2,14,0,.125,291,440,-149,-9.3,0.1,-9.2,-3.9,-5.3,AFC West,missed,2008
New York Giants,12,4,0,.750,427,294,133,8.3,0.1,8.4,5.5,2.8,NFC East,divwin,2008
Philadelphia Eagles,9,6,1,.594,416,289,127,7.9,-0.1,7.8,4.7,3.2,NFC East,wildcard,2008
Dallas Cowboys,9,7,0,.563,362,365,-3,-0.2,0.8,0.6,1.7,-1.2,NFC East,missed,2008
Washington Redskins,8,8,0,.500,265,296,-31,-1.9,0.2,-1.8,-5.8,4.1,NFC East,missed,2008
Minnesota Vikings,10,6,0,.625,379,333,46,2.9,1.2,4.0,1.1,2.9,NFC North,divwin,2008
Chicago Bears,9,7,0,.563,375,350,25,1.6,0.5,2.1,1.1,1.0,NFC North,missed,2008
Green Bay Packers,6,10,0,.375,419,380,39,2.4,0.5,2.9,4.1,-1.2,NFC North,missed,2008
Detroit Lions,0,16,0,.000,268,517,-249,-15.6,2.5,-13.1,-4.0,-9.1,NFC North,missed,2008
Carolina Panthers,12,4,0,.750,414,329,85,5.3,0.3,5.6,2.8,2.9,NFC South,divwin,2008
Atlanta Falcons,11,5,0,.688,391,325,66,4.1,-0.3,3.8,1.3,2.5,NFC South,wildcard,2008
Tampa Bay Buccaneers,9,7,0,.563,361,323,38,2.4,-0.1,2.3,-0.6,2.9,NFC South,missed,2008
New Orleans Saints,8,8,0,.500,463,393,70,4.4,-0.3,4.0,6.8,-2.8,NFC South,missed,2008
Arizona Cardinals,9,7,0,.563,427,426,1,0.1,-1.9,-1.9,4.1,-6.0,NFC West,divwin,2008
San Francisco 49ers,7,9,0,.438,339,381,-42,-2.6,-2.7,-5.3,-2.9,-2.4,NFC West,missed,2008
Seattle Seahawks,4,12,0,.250,294,392,-98,-6.1,-1.5,-7.6,-4.9,-2.8,NFC West,missed,2008
St. Louis Rams,2,14,0,.125,232,465,-233,-14.6,-0.5,-15.1,-8.1,-7.0,NFC West,missed,2008
